"","Win","Kills","Assists","Deaths","headshotsLanded","killsPerMinute","distancePortaled","portalsSpawned","damageDealt"
"1",0,8,5,15,8,1.14,395,13,1167
"2",0,16,7,10,16,2,671,40,2076
"3",1,12,11,23,8,1.09,1264,67,1893
"4",0,9,10,17,6,0.9,1186,57,1576
"5",1,27,1,14,2,3.86,28,2,1678
"6",0,30,1,17,0,5,100,8,1956
"7",1,8,11,12,20,1.14,829,32,1714
"8",1,21,13,18,18,1.75,1084,52,3074
"9",1,13,6,10,13,2.17,807,34,1666
"10",0,17,9,15,16,2.12,513,37,2386
"11",1,13,10,13,18,2.17,285,23,1906
"12",0,6,7,10,10,1,275,20,1354
"13",0,5,2,10,15,1.25,272,6,1157
"14",0,14,8,15,19,1.27,595,31,2310
"15",1,8,7,7,13,1.6,482,31,1285
"16",0,23,3,11,13,2.3,1129,43,2484
"17",0,4,2,12,4,0.8,422,18,1081
"18",1,9,8,3,5,3,405,24,1046
"19",1,18,1,5,14,3.6,280,18,1738
"20",1,10,10,6,5,2.5,279,15,1405
"21",0,7,0,21,8,0.88,503,32,1566
"23",0,3,6,13,1,0.5,291,8,947
"24",0,14,1,13,3,2.8,334,12,1494
"25",1,19,1,11,9,2.71,702,25,2186
"26",1,18,4,10,14,2.57,405,25,2064
"27",1,10,11,16,7,1.11,659,38,1976
"28",0,25,11,17,13,2.27,906,46,3753
"29",0,13,5,13,5,1.86,386,22,1552
"30",0,5,9,10,1,1,546,14,1191
"31",0,4,2,10,7,1,390,20,867
"32",0,13,6,13,16,1.62,607,29,2219
"33",1,11,6,6,11,1.83,487,22,1467
"34",1,11,13,12,12,1.57,431,23,1794
"35",0,7,5,9,8,1.4,503,22,995
"36",0,4,3,7,12,0.67,314,21,1182
"37",0,6,1,12,5,1.5,246,15,770
"38",1,10,4,5,13,1.67,404,20,1130
"39",1,18,6,11,17,2.25,448,26,1926
"40",0,11,9,16,14,1.38,322,20,2085
"41",1,17,3,13,10,2.43,495,22,1900
"42",1,17,7,13,8,1.89,453,19,1807
"43",1,11,8,10,6,1.57,219,10,1528
"44",1,18,10,12,13,2.57,371,21,1924
"45",1,22,8,13,18,2.2,422,22,2453
"46",0,21,7,12,9,2.33,593,33,2281
"47",1,12,4,2,11,4,412,23,1263
"48",1,13,6,8,12,1.62,559,22,1665
"49",1,17,3,3,3,4.25,267,10,1579
"50",0,10,8,13,19,1.11,368,24,2031
"51",0,16,7,12,3,2.29,457,30,2190
"52",1,20,11,9,10,2.22,819,46,2217
"53",0,9,5,13,8,0.9,880,39,1545
"54",0,12,9,18,5,1.33,873,32,2159
"55",1,21,7,11,20,2.62,744,32,2552
"57",1,14,7,11,15,2,314,17,1779
"58",1,19,3,6,7,3.17,501,31,2015
"59",1,7,4,8,9,0.88,306,28,1230
"60",0,9,2,13,4,1.5,1068,51,1175
"61",0,7,3,6,8,1.75,93,5,974
"62",1,4,7,4,7,1.33,137,5,803
"63",1,9,3,9,9,2.25,72,12,1144
"64",0,10,3,8,9,2.5,586,30,1240
"65",1,13,0,6,0,2.6,0,0,650
"66",1,14,0,11,0,2.33,0,0,700
"67",1,17,8,10,13,2.43,664,38,2569
"68",1,6,3,8,8,1,307,15,727
"69",1,10,2,6,6,1.25,511,29,1030
"70",0,4,7,9,7,1.33,0,2,788
"71",0,12,1,11,12,3,278,18,1380
"72",0,18,9,14,19,2,635,36,2211
"73",0,10,3,16,11,1.25,637,30,1801
"74",1,5,2,5,8,1.25,360,14,732
"75",0,10,4,9,2,1.43,581,20,1123
"76",1,11,2,6,3,1.83,535,21,1114
"77",1,13,9,9,11,2.17,496,18,1539
"78",0,9,4,12,7,2.25,196,16,1095
"79",0,9,1,9,1,1.8,218,14,1127
"80",1,11,0,3,7,1.83,234,11,1429
"81",1,8,8,13,8,1.14,600,24,1177
"82",0,5,0,8,2,0.62,440,18,699
"83",1,7,4,4,11,1,509,24,1087
"84",0,9,0,14,1,1.5,845,40,783
"85",0,6,0,12,0,1.5,141,6,739
"86",1,18,4,8,17,4.5,829,20,2015
"87",1,24,0,19,0,3,229,8,1470
"88",1,19,2,9,4,2.71,1082,53,1805
"89",0,13,10,14,20,1.86,400,15,1990
"90",1,14,4,1,3,4.67,592,25,1493
"91",1,15,5,11,12,3.75,339,9,1489
"92",0,9,1,17,0,2.25,127,4,508
"93",1,13,0,7,1,1.62,398,12,1491
"94",0,22,0,19,0,4.4,0,0,1207
"95",0,17,5,9,16,4.25,53,2,1809
"96",1,6,4,3,6,1.2,563,18,1007
"97",1,8,5,11,1,1.14,249,11,1123
"98",0,11,3,12,8,2.75,73,4,1400
"99",0,15,2,13,13,2.5,94,4,1715
"100",1,32,0,3,19,5.33,0,0,3361
"101",1,9,1,10,4,1.29,341,19,1026
"102",1,17,2,12,7,2.43,462,24,2026
"103",1,3,2,9,3,0.5,447,18,639
"104",1,19,0,10,0,3.8,145,5,1350
"105",1,19,2,6,18,3.17,0,4,1999
"106",0,15,6,13,20,2.14,623,31,2062
"107",1,18,5,9,17,3.6,123,7,2292
"108",0,8,0,6,7,1.14,640,14,1114
"109",0,17,5,16,12,2.43,529,20,2238
"110",1,16,0,10,4,3.2,949,28,1634
"111",0,13,1,11,9,2.6,904,23,1602
"112",0,8,1,8,8,1.33,336,23,856
"113",1,8,2,3,7,1.33,494,26,898
"114",1,16,1,6,9,2,967,40,1434
"115",0,4,4,6,5,0.67,503,18,1048
"116",0,4,1,6,2,0.57,1009,42,995
"117",1,8,1,10,3,1.6,957,29,1033
"118",0,14,2,10,13,2.33,662,32,1580
"119",1,14,12,16,18,1.4,1142,41,2101
"120",0,11,4,19,2,1.38,535,26,1878
"121",0,4,0,6,5,1,397,21,486
"122",0,11,7,12,8,1.22,475,27,1760
"124",0,3,5,10,1,0.6,290,15,780
"125",1,9,8,14,2,1.12,885,37,1652
"126",1,11,5,18,13,1.38,991,34,1885
"127",0,11,6,11,4,1.57,755,38,1579
"128",0,2,4,14,4,0.4,437,18,859
"129",1,5,7,15,10,0.71,178,14,1207
"130",0,12,0,10,10,4,497,20,1237
"131",1,11,2,19,9,2.2,0,1,1285
"132",1,13,1,2,9,3.25,403,15,1215
"133",0,12,1,11,12,2.4,90,6,1652
"134",0,20,1,16,3,4,47,2,1369
"135",0,9,0,21,0,1.29,0,0,900
"136",0,8,7,12,3,1.33,235,13,1305
"137",0,3,2,10,0,1,87,8,683
"138",0,2,2,8,2,0.67,224,11,601
"139",1,15,11,13,8,2.14,293,15,2224
"140",0,3,2,8,5,0.75,222,10,1030
"141",0,9,7,15,2,1.29,453,32,1470
"142",1,14,2,4,3,2.8,434,23,1309
"143",1,13,6,16,7,1.08,896,39,2468
"144",1,10,4,7,6,2,441,13,1633
"145",0,10,4,10,4,1.43,654,31,1547
"146",0,9,7,17,4,1.12,163,11,1435
"147",1,13,1,6,7,2.17,36,6,1444
"148",1,13,2,11,0,1.62,1204,45,1706
"149",0,6,4,15,2,1,629,35,760
"150",1,12,2,10,6,2,630,32,1581
"151",0,10,0,12,3,1.43,749,29,1070
"152",0,5,1,6,5,1.25,186,13,977
"153",1,9,0,13,4,1.8,211,17,1202
"154",1,25,0,14,5,4.17,307,17,625
"155",0,16,0,14,14,4,95,7,1783
"156",1,9,2,8,6,2.25,423,21,1171
"157",1,10,0,6,8,2.5,632,21,918
"158",0,7,1,11,7,1.75,0,8,800
"159",1,10,5,6,7,2,421,26,1060
"160",1,13,6,11,13,2.6,0,0,1587
"161",0,14,1,8,14,2,604,42,1430
"162",1,11,1,8,10,2.2,84,2,1125
"163",1,9,3,9,8,2.25,0,2,1020
"164",1,18,8,20,11,1.64,626,28,2641
"165",0,7,4,11,4,1.17,352,20,1074
"166",0,2,2,7,7,0.5,309,13,849
"167",0,8,8,13,5,1.33,450,12,929
"168",1,15,0,9,14,2.5,27,2,1485
"169",1,17,2,9,16,3.4,0,0,1670
"170",1,11,8,17,20,1.22,515,22,1953
"171",0,7,3,14,12,1.17,410,18,1218
"172",1,11,11,11,15,1.38,315,16,1640
"173",1,6,2,3,3,1.5,442,22,654
"174",1,14,2,9,11,2.8,199,8,1179
"175",0,10,1,6,11,1.43,526,18,1070
"176",1,11,3,6,11,2.2,895,27,1310
"177",1,10,3,10,18,1.67,285,14,1579
"178",1,6,3,3,2,1.5,346,15,708
"179",0,4,0,6,4,1,272,12,376
"180",1,13,2,8,7,2.6,10,7,1386
"181",0,7,4,9,6,0.78,340,17,1178
"182",0,5,3,9,6,0.83,204,11,984
"183",1,13,2,6,2,2.6,171,4,1354
"184",0,17,2,13,5,2.43,205,3,1874
"185",0,8,1,15,2,1.14,1032,36,1020
"186",0,10,2,9,8,3.33,57,2,1131
"187",1,20,0,7,6,3.33,134,4,2226
"188",0,6,2,6,7,1,254,17,826
"189",1,7,3,6,4,1.75,274,14,896
"190",1,6,8,8,8,1.2,283,8,1315
"191",0,7,8,15,7,1.17,38,0,1457
"192",0,7,0,12,7,1.4,18,0,850
"194",0,5,1,7,6,0.83,285,18,838
"195",0,5,0,6,3,1.67,61,2,700
"196",0,4,2,6,0,0.67,403,22,866
"197",0,3,1,10,1,0.75,274,4,733
"198",0,14,0,13,10,4.67,0,2,1125
"199",1,9,7,13,15,1.5,88,2,1352
"200",1,12,10,13,12,1.33,205,12,1842
